,Symbol,Name,Industry,IndustryCode
2995,DRH PR A,DiamondRock Hospitality 8 250 Cumulative Redeemable Pref Shs Series A,주택 및 상업용 리츠,601020
2996,AGD,abrdn Global Dynamic Dividend Mutual Fund,다양한 금융서비스,555010
2997,JHI,John Hancock Investors Closed Fund,다양한 금융서비스,555010
2998,NGS,Natural Gas Services Group Inc,오일 및 가스 장비 및 서비스,501030
2999,CXE,MFS High Income Municipal Trust,다양한 금융서비스,555010
3000,STAR PR I,Istar 7.5 Cumulative Redeemable Pref Shs Series I,주택 및 상업용 리츠,601020
3001,ENZ,Enzo Biochem Inc,헬스케어 업체 및 서비스,561020
3002,MNP,Western Asset Municipal Partners Fund,다양한 금융서비스,555010
3003,SEAL PR A,Seapeak 9 00 Cumulative Redeemable Perpetual Prf Shs Series A,오일 및 가스 장비 및 서비스,501030
3004,HBB,Hamilton Beach Brands Holding Co Class A,가정용품,532040
3005,SRL,Scully Royalty Ltd,메탈&마이닝,512010
3006,GDV PR K,Gabelli Dividend and Income 4 250 Cumulative Pref Shs Series K,다양한 금융서비스,555010
3007,ABR PR E,ARBOR RLTY Pref Shs Series E,주택 및 상업용 리츠,601020
3008,WHG,Westwood Holdings Group Inc,투자은행 및 서비스,551020
3009,PCM,PCM Fund Inc,투자은행 및 서비스,551020
3010,PVL,Permianville Royalty Unit,오일 및 가스,501020
3011,SPNT PR B,Siriuspoint 8 00 Resettable Fixed Rate Pref Shs Series B,보험,553010
3012,ATA.U,Americas Technology Acquisition Redeemable Units,기타 금융업,556010
3013,AMH PR H,American Homes 4 Rent Series H Pref Shs,주택 및 상업용 리츠,601020
3014,DS,Drive Shack Inc,호텔 및 엔터테인먼트,533010
3015,ATCO PR D,Atlas 7 95 Cumulative Redeemable Pref Shs Series D,화물 및 물류 서비스,524050
3016,SZC,Cushing NextGen Infrastructure Income Fund,다양한 금융서비스,555010
3017,PAI,Western Asset Investment Grade Income Fund,투자은행 및 서비스,551020
3018,BRDS,Bird Global Inc Class A,레저 상품,532050
3019,PHD,Pioneer Floating Rate Fund Inc,다양한 금융서비스,555010
3020,RMI,RiverNorth Opportunistic Municipal Income Fund Inc,다양한 금융서비스,555010
3021,EIC,Eagle Point Income Company Closed End Fund,다양한 금융서비스,555010
3022,CMRE PR E,Costamare 8.875 Cumulative Redeemable Perpetual Pref Shs Series E,화물 및 물류 서비스,524050
3023,NIM,Nuveen Select Maturities Municipal Fund,투자은행 및 서비스,551020
3024,AMH PR G,American Homes 4 Rent Series G Cumulative Redeemable Perpetual Prf Shs,주택 및 상업용 리츠,601020
3025,GLOG PR A,GasLog 8.75 Cumulative Redeemable Perpetual Pref Shs Series A,화물 및 물류 서비스,524050
3026,NMK PR B,Niagara Mohawk Power 3.6% Pref Shs Series B,전기 유틸리티,591010
3027,PSA PR O,PUBLIC STORAGE 1000 DEPOSITARY SHS REPSTG PFD BEN INT SER O,주택 및 상업용 리츠,601020
3028,SBI,Western Asset Intermediate Muni Closed Fund,다양한 금융서비스,555010
3029,WEL.U,Integrated Wellness Acquisition Units,기타 금융업,556010
3030,FNB PR E,FNB Depositary Shares Representing 1/40th Fixed to Floating Rate Non Cumulative,은행,551010
3031,MGF,MFS Government Markets Income Closed Fund,다양한 금융서비스,555010
3032,GLOP PR B,Gaslog Partners Perp Fixed Fltg Unit Pref Shs Series B,오일 및 가스 장비 및 서비스,501030
3033,UBP PR H,Urstadt Biddle Pptys Cumulative Redeemable Pref Shs Series H,주택 및 상업용 리츠,601020
3034,PSEC PR A,Prospect Capital 5 35 Fixed Rate Cumulative Perpetual Pref Shs Series A,다양한 금융서비스,555010
3035,CRT,Cross Timbers Royalty Units,오일 및 가스,501020
3036,AXH.U,Industrial Human Capital Units,기타 금융업,556010
3037,NKG,Nuveen Georgia Quality Municipal Income Fund,다양한 금융서비스,555010
3038,GDL,GDL Closed Fund,다양한 금융서비스,555010
3039,MDV,Modiv Inc Class C,주택 및 상업용 리츠,601020
3040,DCF,BNY Mellon Alcentra Global Crdt Inc 2024 Tgt Tr Fd,다양한 금융서비스,555010
3041,TNP PR E,Tsakos Energy Navigation Fixed Fltg Perpetual Pref Shs Series E,오일 및 가스 장비 및 서비스,501030
3042,LITB,LightInTheBox Holding Co Ltd ADR,다양한 소매업,534020
3043,PMT PR A,PennyMac Mortgage Investment 8.125 Cum Red Preferred Shs Series A,주택 및 상업용 리츠,601020
3044,CLDT PR A,Chatham Lodging 6 625 Cumulative Redeemable Pref Shs Series A,주택 및 상업용 리츠,601020
3045,EARN,Ellington Residential Mortgage REIT,주택 및 상업용 리츠,601020
3046,GSL PR B,Global Ship Lease  Representing 8.75 Cumulative Redeemable Perpetual Pref Shs,화물 및 물류 서비스,524050
3047,NMT,Nuveen Massachusetts Quality Municipal Income Fund,투자은행 및 서비스,551020
3048,AGM PR F,FEDERAL AGRIC MTG 5 250 Non Cumulative Pref Shs Series F,은행,551010
3049,GGZ,Gabelli Global Small and Mid Cap Value Closed Fund,다양한 금융서비스,555010
3050,PRT,PermRock Royalty Units,오일 및 가스,501020
3051,AGM PR G,Federal Agricultural Mortgage 4 875 Non Cumulative Pref Shs Series G,은행,551010
3052,CIO PR A,City Office REIT 6 25 Cum Redeemable Pref Shs Series A,주택 및 상업용 리츠,601020
3053,IH,Ihuman Inc ADR Class A,소프트웨어 및 IT서비스,572010
3054,EPR PR E,EPR Properties 9.00% Cumulative Conv Pref Shs Series E,주택 및 상업용 리츠,601020
3055,BEST,BEST Inc ADR Class A,화물 및 물류 서비스,524050
3056,RFM,RiverNorth Flexible Municipal Income Fund Inc.,다양한 금융서비스,555010
3057,IHD,Voya Emerging Markets High Dividend Equity Fund,다양한 금융서비스,555010
3058,SHO PR H,Sunstone Hotel Investors 6 125 Cumulative Redeemable Pref Shs Series H,주택 및 상업용 리츠,601020
3059,CSR PR C,Centerspace 6 625 Cumulative Redeemable Pref Shs Series C,주택 및 상업용 리츠,601020
3060,HMLP PR A,Hoegh LNG Partners 8 75 Cumulative Redeemable Pref Shs Series A,오일 및 가스 장비 및 서비스,501030
3061,SWZ,Swiss Helvetia Closed Fund,투자은행 및 서비스,551020
3062,KSM,DWS Strategic Municipal Income Trust,다양한 금융서비스,555010
3063,BFS PR E,Saul Ctrs 100 DS Repstg Pref Series E,주택 및 상업용 리츠,601020
3064,UBP PR K,URSTADT BIDDLE PPTYS Redeemable Pref Shs,주택 및 상업용 리츠,601020
3065,NINE,Nine Energy Service Inc,오일 및 가스 장비 및 서비스,501030
3066,PEB PR E,Pebblebrook Hotel 6.375 Cumulative Redeemable Pref Shs Series E,주택 및 상업용 리츠,601020
3067,ACR PR C,ACRES Commercial Realty 8 625 Fixed to Floating Cumulative Redeemable Pref Shs,주택 및 상업용 리츠,601020
3068,DX PR C,Dynex Cap Pref Shs Series C,주택 및 상업용 리츠,601020
3069,EXD,Eaton Vance Tax-Managed Buy-Write Strategy Fund,다양한 금융서비스,555010
3070,NCZ PR A,Virtus Convertible And Income Fund II 5 50 Cumulative Prf Shs Series A,다양한 금융서비스,555010
3071,CMRE PR D,Costamare 8.75 Cumulative Redeemable Perpetual Pref Shs Series D,화물 및 물류 서비스,524050
3072,CODI PR B,Compass Diversified Holdings 7.875 Fixed Floating Rate Cumulative Pref Shs,기타 금융업,556010
3073,PNI,PIMCO New York Municipal Income Fund II,다양한 금융서비스,555010
3074,CMCM,Cheetah Mobile Inc ADR Class A,소프트웨어 및 IT서비스,572010
3075,GCV,Gabelli Convertible and Income Securities Mutual Fund,다양한 금융서비스,555010
3076,COF PR K,Capital One Financial DS Rep 1 40th Perp Prf Series K,은행,551010
3077,DCP PR C,DCP Midstream 7.95% Cumulative Redeemable Perpetual Pref Shs Series C,오일 및 가스 장비 및 서비스,501030
3078,CODI PR C,COMPASS DIVERSIFIED HLDGS SER C Pref Shs,기타 금융업,556010
3079,BEDU,Bright Scholar Education Holdings Ltd ADR Class A,교육서비스,631010
3080,CMRE PR C,Costamare 8.50% Cumulative Redeemable Perpetual Pref Shs Series C,화물 및 물류 서비스,524050
3081,STAR PR D,Istar Cumulative Redeemable Pref Shs Series D,주택 및 상업용 리츠,601020
3082,EVF,Eaton Vance Senior Income Closed Fund,다양한 금융서비스,555010
3083,GAB PR H,Gabelli Equity Trust 5.00% Cumulative Pref Shs Series H,다양한 금융서비스,555010
3084,LXP PR C,LXP Industrial 6 5 Cumulative Convertible Pref Shs Series C,주택 및 상업용 리츠,601020
3085,EFC PR A,Ellington Finl Pref Shs A,주택 및 상업용 리츠,601020
3086,CODI PR A,Compass Diversified Hldgs 7.25 Pref Shs Series A,기타 금융업,556010
3087,GLOP PR C,Gaslog Partners Perpetual Unit Pref Shs Series C,오일 및 가스 장비 및 서비스,501030
3088,ACR PR D,ACRES Commercial Realty 7 875 Cumulative Red Pref Shs Series D,주택 및 상업용 리츠,601020
3089,FOA,Finance of America Companies Inc Class A,은행,551010
3090,EFC PR B,Ellington Financial 6 250 Fixed Rate Reset Cumulative Redeemable Pref Shs,주택 및 상업용 리츠,601020
3091,GDV PR G,Gabelli Dividend & Income Trust PRF,다양한 금융서비스,555010
3092,GHM,Graham Corp,"건설장비 및 대형차, 기차, 배",521020
3093,FHN PR D,First Horizon 400 Depositary Shs Representing Non Cumulative Pref Shs Series D,은행,551010
3094,ASB PR F,Associated Banc 40 DS Representing 5 625 Non Cumulative Pref Shs Series F,은행,551010
3095,AUD,Audacy Inc Class A,미디어 및 출판,533020
3096,VCIF,Vertical Capital Income Fund,다양한 금융서비스,555010
3097,BOXD,Boxed Inc,다양한 소매업,534020
3098,VGI,Virtus Global Multi-Sector Income,다양한 금융서비스,555010
3099,CMU,MFS High Yield Municipal Trust,다양한 금융서비스,555010
3100,DMS,Digital Media Solutions Inc Class A,미디어 및 출판,533020
3101,CORR PR A,CorEnergy Infrastructure DS Representing a 1 100 Fractional Int 7 375,주택 및 상업용 리츠,601020
3102,AGM PR D,Federal Agricultural Mortgage 5 700 Non Cumulative Prf Shs Series D,은행,551010
3103,RIV PR A,Rivernorth Opportunities Fd Perpetual Pref Shs Series A,다양한 금융서비스,555010
3104,PSA PR Q,Public Storage Depositary Shares Each Representing 1 1000 of 3 950 Cumulative,주택 및 상업용 리츠,601020
3105,NCV PR A,Virtus Convertible And Income Fund 5 625 Cumulative Prf Shs Series A,다양한 금융서비스,555010
3106,RC PR E,Ready Capital 6.5 Pref Shs Series E,주택 및 상업용 리츠,601020
3107,ANVS,Annovis Bio Inc,생명과학 및 메디컬 리서치,562020
3108,GAB PR K,GABELLI EQUITY Pref Shs Series K,다양한 금융서비스,555010
3109,NTZ,Natuzzi SpA ADR,가정용품,532040
3110,RPT PR D,RPT Realty 7.25 Cumulative Convertible Perpetual Pref Shs Series D,주택 및 상업용 리츠,601020
3111,AAIC,Arlington Asset Investment Corp Class A,투자은행 및 서비스,551020
3112,GLS,Gelesis Holdings Inc,제약,562010
3113,CHRA,Charah Solutions Inc,전문 및 상업 서비스,522030
3114,JLS,Nuveen Mortgage and Income Fund,다양한 금융서비스,555010
3115,NMI,Nuveen Municipal Income Fund Inc,투자은행 및 서비스,551020
3116,JEMD,Nuveen Emerging Markets Debt 2022 Target Term Closed End Fund,다양한 금융서비스,555010
3117,PGZ,Principal Real Estate Income Fund,다양한 금융서비스,555010
3118,SQZ,SQZ Biotechnologies Co,생명과학 및 메디컬 리서치,562020
3119,MITT PR C,Mortgage Investment Trust Pref Shs Series C,주택 및 상업용 리츠,601020
3120,YRD,Yiren Digital Ltd ADR,소프트웨어 및 IT서비스,572010
3121,VNCE,Vince Holding Corp,전문품 상점,534030
3122,PGP,PIMCO Global StocksPLUS & Income Fund,다양한 금융서비스,555010
3123,DEX,Delaware Enhanced Global Dividend and Income Closed Fund,다양한 금융서비스,555010
3124,DTLA PR,Brookfield DTLA Fund Office Trust Investor Cumulative Redeemable Pref Shs,주택 및 상업용 리츠,601020
3125,MITT PR B,AG Mortgage Investment 8% Per Cumulative Redeemable Pref Shs Series B,주택 및 상업용 리츠,601020
3126,HT PR E,Hersha Hospitality 6.5 Cumulative Redeemable Pref Shs Series E,주택 및 상업용 리츠,601020
3127,UPH,Uphealth Inc,소프트웨어 및 IT서비스,572010
3128,GNT,GAMCO Natural Resources Gold & Income Trust,다양한 금융서비스,555010
3129,SHO PR I,Sunstone Hotel Investors 5 70 Cumulative Pref Shs Series I,주택 및 상업용 리츠,601020
3130,TPZ,Tortoise Power & Energy Infrastructure Fund,다양한 금융서비스,555010
3131,REXR PR C,Rexford Individual Realty Pref Shs Series C,주택 및 상업용 리츠,601020
3132,CEN,Center Coast Brookfield MLP And Energy Infras Fund,다양한 금융서비스,555010
3133,NMK PR C,Niagara Mohawk Power 3.9% Pref Shs Series C,전기 유틸리티,591010
3134,ACR,Acres Commercial Realty Corp,주택 및 상업용 리츠,601020
3135,NXC,Nuveen California Select Tax Free Income Closed Fund,투자은행 및 서비스,551020
3136,NMS,Nuveen Minnesota Quality Municipal Income Fund,다양한 금융서비스,555010
3137,ORN,Orion Group Holdings Inc,건설 및 엔지니어링,522010
3138,CUBI PR F,Customers Bancorp Perpetual Non Cumulative Fixed Floating Pref Shs Series F,은행,551010
3139,DTF,DTF Tax-Free Income 2028 Term Fund Inc.,다양한 금융서비스,555010
3140,FTK,Flotek Industries Inc,화학,511010
3141,TNP PR D,Tsakos Energy Navigation Pref Shs,오일 및 가스 장비 및 서비스,501030
3142,CCM,Concord Medical Services Holdings Ltd ADR,헬스케어 업체 및 서비스,561020
3143,AGM PR C,Federal Agricultural Mortgage 6 Fixed to Floating Rate Non Cumulative Pref Shs,은행,551010
3144,ATTO,Atento SA,전문 및 상업 서비스,522030
3145,KLR,Kaleyra Inc,통신 서비스,574010
3146,MFD,Macquarie/First Tr Global Infr/Util Div & Income Closed Fund,다양한 금융서비스,555010
3147,INN PR F,Summit Hotel Pptys Cum Red Pref Shs Series F,주택 및 상업용 리츠,601020
3148,WMC,Western Asset Mortgage Capital Corp,주택 및 상업용 리츠,601020
3149,JEQ,abrdn Japan Equity Mutual Fund,다양한 금융서비스,555010
3150,RJF PR B,Raymond James Financial Inc DRC,투자은행 및 서비스,551020
3151,STAR PR G,Istar 7.65 Pref Shs Series G,주택 및 상업용 리츠,601020
3152,SB PR D,Safe Bulkers 8 Cum Redeemable Perpetual Pref Shs Series D,화물 및 물류 서비스,524050
3153,GAB PR J,Gabelli Equity Trust Inc PRF,다양한 금융서비스,555010
3154,IAE,Voya Asia Pacific High Dividend Equity Income Fund,다양한 금융서비스,555010
3155,EDF,Virtus Stone Harbor Emerging Markets Income Fund,다양한 금융서비스,555010
3156,AXR,AMREP Corp,건설 및 엔지니어링,522010
3157,AMAM,Ambrx Biopharma Inc ADR,생명과학 및 메디컬 리서치,562020
3158,AGM PR E,Federal Agricultural Mortgage 5 750 Non Cumulative Pref Shs Series E,은행,551010
3159,AP,Ampco-Pittsburgh Corp,메탈&마이닝,512010
3160,NLS,Nautilus Inc,레저 상품,532050
3161,TRTN PR A,Triton Intl Red Per Pref Shs Series A,전문 및 상업 서비스,522030
3162,BML PR G,Bank of America Depository Shares Repstg 1/1200th Floating Rate Non Cumulative,은행,551010
3163,FHN PR B,First Horizon 400 Depositary Shares Representing Non Cumulative Pref Shs Series,은행,551010
3164,PNF,PIMCO New York Municipal Income Fund,다양한 금융서비스,555010
3165,GLP PR B,Global Partners 9 50 Fixed Rate Cumulative Perpetual Pref Shs Series B,오일 및 가스,501020
3166,REXR PR B,Rexford Indl Rlty Pref Shs Series B,주택 및 상업용 리츠,601020
3167,HRTG,Heritage Insurance Holdings Inc,보험,553010
3168,GNL PR B,GLOBAL NET LEASE Perpetual Pref Shs Series B,주택 및 상업용 리츠,601020
3169,VLT,Invesco High Income Trust II,투자은행 및 서비스,551020
3170,IHTA,Invesco High Income 2024 Target Term Mutual Fund,다양한 금융서비스,555010
3171,ATA,Americas Technology Acquisition Corp,기타 금융업,556010
3172,NHF PR A,NexPoint Strategic Opportunities Fund PRF,다양한 금융서비스,555010
3173,CTO PR A,CTO Realty Growth 6 375 Cumulative Redeemable Pref Shs Series A,주택 및 상업용 리츠,601020
3174,GLP PR A,Global Partners 9 75 Cumulative Redeemable Perpetual Preferred Units Series A,오일 및 가스,501020
3175,CXH,MFS Investment Grade Municipal Trust,다양한 금융서비스,555010
3176,DLNG PR A,Dynagas LNG Partners 9 Cumulative Redeemable Pref Units Series A,오일 및 가스 장비 및 서비스,501030
3177,JHAA,Nuveen Corporate Income 2023 Target Term Fund,다양한 금융서비스,555010
3178,SRV,Cushing MLP & Infrastructure Total Return Fund,다양한 금융서비스,555010
3179,ZEPP,Zepp Health Corp ADR Class A,"컴퓨터, 전화 및 가전제품",571060
3180,GDL PR C,GDL Cumulative Puttable and Callable Pref Shs Series C,다양한 금융서비스,555010
3181,TTP,Tortoise Pipeline & Energy Fund Inc,다양한 금융서비스,555010
3182,GMRE PR A,Global Med REIT Cumulative Redeemable Pref Shs Series A,주택 및 상업용 리츠,601020
3183,DDF,Delaware Investments Dividend and Income Closed Fund,다양한 금융서비스,555010
3184,HT PR C,Hersha Hospitality 6.875% Cumulative Redeemable Pref Shs Series C,주택 및 상업용 리츠,601020
3185,NXDT PR A,NexPoint Diversified Real Estate 5.50 Cumulative Pref Shs Series A,주택 및 상업용 리츠,601020
3186,STG,Sunlands Technology Group ADR Class A,소프트웨어 및 IT서비스,572010
3187,DSX PR B,Diana Shipping 8.875% Cumulative Redeemable Perpetual Pref Shs Series B,화물 및 물류 서비스,524050
3188,SRG PR A,Seritage Growth Pptys Cum Red 7 00 Pref Shs Series A,주택 및 상업용 리츠,601020
3189,GAB PR G,Gabelli Equity Trust Cumulative Pref Shs Series G,다양한 금융서비스,555010
3190,HZN,Horizon Global Corp,자동차 및 자동차 부품,531010
3191,SFE,Safeguard Scientifics Inc,투자은행 및 서비스,551020
3192,RSF,RiverNorth Specialty Finance Corporation CF,다양한 금융서비스,555010
3193,RGS,Regis Corp,"개인, 가정 용품 및 서비스",542010
3194,RGT,Royce Global Value Trust Inc,다양한 금융서비스,555010
3195,CHMI PR A,Cherry Hill Mortgage Invstmnt 8 20 Cumulative Redeemable Pref Shs Series A,주택 및 상업용 리츠,601020
3196,CULP,Culp Inc,섬유 및 의류,532020
3197,TISI,Team Inc,전문 및 상업 서비스,522030
3198,SPE PR C,Special Opportunities Fund 2 75 Convertible Pref Shs Series C,다양한 금융서비스,555010
3199,JMM,Nuveen Multi-Market Income Fund,다양한 금융서비스,555010
3200,HTY,John Hancock Tax-Advantaged Global Shareholder Yield Closed Fund,다양한 금융서비스,555010
3201,MAA PR I,Mid America Apartment Communities 8.50% Cumulative Redeemable Pref Shs Series I,주택 및 상업용 리츠,601020
3202,ELVT,Elevate Credit Inc,은행,551010
3203,CUBI PR E,Customers Perpetual Non Cumulative Fixed to Floating Pref Shs Series E,은행,551010
3204,NDP,Tortoise Energy Independence Fund,다양한 금융서비스,555010
3205,SB PR C,Safe Bulkers 8.00% Cumulative Redeemable Perpetual Pref Shs Series C,화물 및 물류 서비스,524050
3206,FENG,Phoenix New Media Ltd ADR Class A,미디어 및 출판,533020
3207,LFT PR A,LUMENT FIN Pref Shs,주택 및 상업용 리츠,601020
3208,AVYA,Avaya Holdings Corp,커뮤니케이션 및 네트워킹,571020
3209,CGA,China Green Agriculture Inc,화학,511010
3210,CEE,Central and Eastern Europe Fund Inc,다양한 금융서비스,555010
3211,GSQB.U,G Squared Ascend II Units,기타 금융업,556010
3212,IQI,Invesco Quality Municipal Income Closed Fund,다양한 금융서비스,555010
3213,DLNG PR B,Dynagas LNG Partners  Pref Unit Series B,오일 및 가스 장비 및 서비스,501030
3214,EDI,Virtus Stone Harbor Emerging Markets Total Income,다양한 금융서비스,555010
3215,BHR PR B,Braemar Hotels Resorts 5 50 Cumulative Convertible Pref Shs Series B,주택 및 상업용 리츠,601020
3216,FGB,First Trust Specialty Finance and Financial Opportunities Closed Fund,다양한 금융서비스,555010
3217,PYS,Merrill Lynch Depositor PPLUS 6.30% Callable TRUPS Class A Series RRD-1,은행,551010
3218,NM,Navios Maritime Holdings Inc,운송 인프라,524070
3219,SCX,L S Starrett Co Class A,"건설장비 및 대형차, 기차, 배",521020
3220,EEA,European Equity Closed Fund,다양한 금융서비스,555010
3221,SPG PR J,Chelsea Property 8.375% Cumulative Redeemable Pref Shs Series J,주택 및 상업용 리츠,601020
3222,RFL,Rafael Holdings Inc Class B,부동산 운영 관리,601010
3223,GUT PR C,Gabelli Utility 5.375 Cumulative Pref Shs Series C,다양한 금융서비스,555010
3224,FHN PR C,First Horizon 400 Depositary Shs Representing Non Cumulative Pref Shs Series C,은행,551010
3225,OPP PR B,Rivernorth Doubleline Strategic Opportunity Pref Shs Series B,다양한 금융서비스,555010
3226,CTA PR A,E I du Pont de Nemours Pref Shs Series 3.50,복합 기업,544010
3227,GDV PR H,Gabelli Dividend And Income 5.375% Cumulative Preferred Shs Series H,다양한 금융서비스,555010
3228,CMRE PR B,Costamare 7.625% Cumulative Redeemable Perpetual Pref Shs Series B,화물 및 물류 서비스,524050
3229,PYN,PIMCO New York Municipal Income Fund III,다양한 금융서비스,555010
3230,GGT PR E,Gabelli Multimedia 5 125 Cumulative Pref Shs Series E,다양한 금융서비스,555010
3231,FMY,First Trust Mortgage Income Fund,다양한 금융서비스,555010
3232,GGT PR G,Gabelli Multimedia Trust Pref Shs Series G,다양한 금융서비스,555010
